H,1
He,4
Li,6
Be,9
B,10
C,12
N,14
O,15
F,18
Ne,20
Na,22
Mg,24
Al,26
Si,28
P,30
S,32
Cl,35
Ar,39
K,39
Ca,40
Sc,44
Ti,47
V,50
Cr,51
Mn,54
Fe,55
Co,58
Ni,58
Cu,63
Zn,65
Ga,69
Ge,72
As,74
Se,78
Br,79
Kr,83
Rb,85
Sr,87
Y,88
Zr,91
Nb,92
Mo,95
Tc,98
Ru,101
Rh,102
Pd,106
Ag,107
Cd,112
In,114
Sn,118
Sb,121
Te,127
I,126
Xe,131
Cs,132
Ba,137
La,138
Ce,140
Pr,140
Nd,144
Pm,145
Sm,150
Eu,151
Gd,157
Tb,158
Dy,162
Ho,164
Er,167
Tm,168
Yb,173
Lu,174
Hf,178
Ta,180
W,183
Re,186
Os,190
Ir,192
Pt,195
Au,196
Hg,200
Tl,204
Pb,207
Bi,208
Po,210
At,210
Rn,222
Fr,223
Ra,226
Ac,227
Th,232
Pa,231
U,238
Np,237
Pu,244
Am,243
Cm,247
Bk,247
Cf,251
Es,252
Fm,257
Md,258
No,259
Lr,262
Rf,261
Db,262
Sg,266
Bh,264
Hs,267
Mt,268
Ds,271
Rg ,272
Cn,285
Nh,284
Fl,289
Mc,288
Lv,292
Ts,295
Og,294
